ELEME
  a 0    0    0SURFA1.0000e+25                     1.000e+02 1.000e+01 0.000e+00
  b 0    0    0SURFA1.0000e+25                     3.000e+02 1.000e+01 0.000e+00
  c 0    0    0SURFA1.0000e+25                     5.000e+02 1.000e+01 0.000e+00
  d 0    0    0SURFA1.0000e+25                     7.000e+02 1.000e+01 0.000e+00
  e 0    0    0SURFA1.0000e+25                     9.000e+02 1.000e+01 0.000e+00
  f 0    0    0SURFA1.0000e+25                     1.100e+03 1.000e+01 0.000e+00
  g 0    0    0SURFA1.0000e+25                     1.300e+03 1.000e+01 0.000e+00
  h 0    0    0SURFA1.0000e+25                     1.500e+03 1.000e+01 0.000e+00
  i 0    0    0SURFA1.0000e+25                     1.700e+03 1.000e+01 0.000e+00
  j 0    0    0SURFA1.0000e+25                     1.900e+03 1.000e+01 0.000e+00
  a 1    0    0SURFA8.0000e+05                     1.000e+02 1.000e+01-1.000e+02
  b 1    0    0SURFA8.0000e+05                     3.000e+02 1.000e+01-1.000e+02
  c 1    0    0SURFA8.0000e+05                     5.000e+02 1.000e+01-1.000e+02
  d 1    0    0SURFA8.0000e+05                     7.000e+02 1.000e+01-1.000e+02
  e 1    0    0SURFA8.0000e+05                     9.000e+02 1.000e+01-1.000e+02
  f 1    0    0SURFA8.0000e+05                     1.100e+03 1.000e+01-1.000e+02
  g 1    0    0SURFA8.0000e+05                     1.300e+03 1.000e+01-1.000e+02
  h 1    0    0SURFA8.0000e+05                     1.500e+03 1.000e+01-1.000e+02
  i 1    0    0SURFA8.0000e+05                     1.700e+03 1.000e+01-1.000e+02
  j 1    0    0SURFA8.0000e+05                     1.900e+03 1.000e+01-1.000e+02
  a 2    0    0CAPRO8.0000e+05                     1.000e+02 1.000e+01-3.000e+02
  b 2    0    0CAPRO8.0000e+05                     3.000e+02 1.000e+01-3.000e+02
  c 2    0    0CAPRO8.0000e+05                     5.000e+02 1.000e+01-3.000e+02
  d 2    0    0CAPRO8.0000e+05                     7.000e+02 1.000e+01-3.000e+02
  e 2    0    0CAPRO8.0000e+05                     9.000e+02 1.000e+01-3.000e+02
  f 2    0    0CAPRO8.0000e+05                     1.100e+03 1.000e+01-3.000e+02
  g 2    0    0CAPRO8.0000e+05                     1.300e+03 1.000e+01-3.000e+02
  h 2    0    0OUTFL8.0000e+05                     1.500e+03 1.000e+01-3.000e+02
  i 2    0    0CAPRO8.0000e+05                     1.700e+03 1.000e+01-3.000e+02
  j 2    0    0CAPRO8.0000e+05                     1.900e+03 1.000e+01-3.000e+02
  a 3    0    0MEDM 8.0000e+05                     1.000e+02 1.000e+01-5.000e+02
  b 3    0    0MEDM 8.0000e+05                     3.000e+02 1.000e+01-5.000e+02
  c 3    0    0MEDM 8.0000e+05                     5.000e+02 1.000e+01-5.000e+02
  d 3    0    0MEDM 8.0000e+05                     7.000e+02 1.000e+01-5.000e+02
  e 3    0    0MEDM 8.0000e+05                     9.000e+02 1.000e+01-5.000e+02
  f 3    0    0MEDM 8.0000e+05                     1.100e+03 1.000e+01-5.000e+02
  g 3    0    0MEDM 8.0000e+05                     1.300e+03 1.000e+01-5.000e+02
  h 3    0    0MEDM 8.0000e+05                     1.500e+03 1.000e+01-5.000e+02
  i 3    0    0MEDM 8.0000e+05                     1.700e+03 1.000e+01-5.000e+02
  j 3    0    0MEDM 8.0000e+05                     1.900e+03 1.000e+01-5.000e+02
  a 4    0    0MEDM 8.0000e+05                     1.000e+02 1.000e+01-7.000e+02
  b 4    0    0MEDM 8.0000e+05                     3.000e+02 1.000e+01-7.000e+02
