GENER
  a16BAS 1                   1     HEAT  2.214e+05 0.000e+00 0.000e+00 0.000e+00
  b16BAS 1                   1     HEAT  2.202e+05 0.000e+00 0.000e+00 0.000e+00
  c16BAS 1                   1     HEAT  2.172e+05 0.000e+00 0.000e+00 0.000e+00
  d16BAS 1                   1     HEAT  2.227e+05 0.000e+00 0.000e+00 0.000e+00
  f16BAS 1                   1     HEAT  2.219e+05 0.000e+00 0.000e+00 0.000e+00
  g16BAS 1                   1     HEAT  2.225e+05 0.000e+00 0.000e+00 0.000e+00
  h16BAS 1                   1     HEAT  2.234e+05 0.000e+00 0.000e+00 0.000e+00
  i16BAS 1                   1     HEAT  2.201e+05 0.000e+00 0.000e+00 0.000e+00
  j16BAS 1                   1     HEAT  2.273e+05 0.000e+00 0.000e+00 0.000e+00
 fy16BAS 1                   1     HEAT  2.162e+05 0.000e+00 0.000e+00 0.000e+00
  n16BAS 1                   1     HEAT  2.310e+05 0.000e+00 0.000e+00 0.000e+00
  o16BAS 1                   1     HEAT  2.225e+05 0.000e+00 0.000e+00 0.000e+00
  p16BAS 1                   1     HEAT  2.225e+05 0.000e+00 0.000e+00 0.000e+00
  q16BAS 1                   1     HEAT  2.216e+05 0.000e+00 0.000e+00 0.000e+00
 cf16BAS 1                   1     HEAT  1.616e+05 0.000e+00 0.000e+00 0.000e+00
 gg16BAS 1                   1     HEAT  1.192e+05 0.000e+00 0.000e+00 0.000e+00
  w16BAS 1                   1     HEAT  2.252e+05 0.000e+00 0.000e+00 0.000e+00
  x16BAS 1                   1     HEAT  2.204e+05 0.000e+00 0.000e+00 0.000e+00
  y16BAS 1                   1     HEAT  2.003e+05 0.000e+00 0.000e+00 0.000e+00
 fv16BAS 1                   1     HEAT  4.739e+04 0.000e+00 0.000e+00 0.000e+00
 fw16BAS 1                   1     HEAT  6.826e+04 0.000e+00 0.000e+00 0.000e+00
 gj16BAS 1                   1     HEAT  1.206e+05 0.000e+00 0.000e+00 0.000e+00
 ga16BAS 1                   1     HEAT  5.921e+04 0.000e+00 0.000e+00 0.000e+00
 fz16BAS 1                   1     HEAT  5.789e+04 0.000e+00 0.000e+00 0.000e+00
 gb16BAS 1                   1     HEAT  6.811e+04 0.000e+00 0.000e+00 0.000e+00
 cd16BAS 1                   1     HEAT  1.534e+05 0.000e+00 0.000e+00 0.000e+00
 ae16BAS 1                   1     HEAT  2.106e+05 0.000e+00 0.000e+00 0.000e+00
 af16BAS 1                   1     HEAT  2.164e+05 0.000e+00 0.000e+00 0.000e+00
